file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,12
style.css,2,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,6
style.css,3,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,43
style.css,4,css,f927b111,Chanyoung Park,2025-01-22,22:56:05,-08:00,2025-01-22T22:56:05-08:00,0,33
style.css,5,css,f927b111,Chanyoung Park,2025-01-22,22:56:05,-08:00,2025-01-22T22:56:05-08:00,0,24
style.css,6,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,7,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,8,css,326af6d7,Chanyoung Park,2025-01-08,20:35:48,-08:00,2025-01-08T20:35:48-08:00,0,5
style.css,9,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,44
style.css,10,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,43
style.css,11,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,1
style.css,12,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,24
style.css,13,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,16
style.css,14,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,19
style.css,15,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,12
style.css,16,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,17,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,18,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,3
style.css,19,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,15
style.css,20,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,21,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,22,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,23
style.css,23,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,16
style.css,24,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,18
style.css,25,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,26,css,7cab4e68,Chanyoung Park,2025-01-14,18:42:09,-08:00,2025-01-14T18:42:09-08:00,0,0
style.css,27,css,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,14
style.css,28,css,71fa73d8,Chanyoung Park,2025-01-14,20:59:44,-08:00,2025-01-14T20:59:44-08:00,0,12
style.css,29,css,71fa73d8,Chanyoung Park,2025-01-14,20:59:44,-08:00,2025-01-14T20:59:44-08:00,0,10
style.css,30,css,71fa73d8,Chanyoung Park,2025-01-14,20:59:44,-08:00,2025-01-14T20:59:44-08:00,0,13
style.css,31,css,71fa73d8,Chanyoung Park,2025-01-14,20:59:44,-08:00,2025-01-14T20:59:44-08:00,0,18
style.css,32,css,71fa73d8,Chanyoung Park,2025-01-14,20:59:44,-08:00,2025-01-14T20:59:44-08:00,0,0
style.css,33,css,71fa73d8,Chanyoung Park,2025-01-14,20:59:44,-08:00,2025-01-14T20:59:44-08:00,0,0
style.css,34,css,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,17
style.css,35,css,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,13
style.css,36,css,3e9fd43f,Chanyoung Park,2025-01-30,20:41:06,-08:00,2025-01-30T20:41:06-08:00,0,37
